system:index,histogram,shapeGroup,shapeType
2001_01_01_00000000000000000019,"[[1.0, 640.2588235294119], [2.0, 0.0], [3.0, 0.0], [4.0, 15062.396078431377], [5.0, 1619.4901960784312], [6.0, 3.0], [7.0, 2.0], [8.0, 27690.08627450982], [9.0, 32563.223529411775], [10.0, 75437.04705882353], [11.0, 611.2588235294118], [12.0, 21408.51764705882], [13.0, 3007.5333333333333], [14.0, 1048.941176470588], [15.0, 0.0], [16.0, 45.254901960784316], [17.0, 2974.93725490196]]",MKD,ADM0
2001_01_01_0000000000000000001a,"[[1.0, 191.67450980392158], [2.0, 282709.96078431373], [3.0, 0.0], [4.0, 68298.28235294117], [5.0, 6389.180392156863], [6.0, 29023.0], [7.0, 55579.63137254902], [8.0, 222673.04705882355], [9.0, 322015.7333333332], [10.0, 1635074.5764705904], [11.0, 20898.458823529505], [12.0, 18991.913725490198], [13.0, 1239.470588235294], [14.0, 1951.9019607843138], [15.0, 0.0], [16.0, 967.9960784313724], [17.0, 11876.078431372489]]",MDG,ADM0
2001_01_01_0000000000000000001b,"[[1.0, 26.301960784313724], [2.0, 6324.36862745098], [3.0, 0.0], [4.0, 14457.858823529414], [5.0, 7268.7490196078425], [6.0, 1887.4], [7.0, 435.85490196078433], [8.0, 18869.392156862745], [9.0, 124051.93333333329], [10.0, 106101.02352941177], [11.0, 5780.929411764712], [12.0, 110821.56078431373], [13.0, 802.0], [14.0, 6896.799999999998], [15.0, 0.0], [16.0, 321.66666666666663], [17.0, 100445.03921568635]]",MWI,ADM0
2001_01_01_0000000000000000001c,"[[1.0, 39.35686274509804], [2.0, 1014673.2274509813], [3.0, 0.0], [4.0, 434.2470588235294], [5.0, 62.54509803921569], [6.0, 739.7490196078431], [7.0, 11.0], [8.0, 153681.2235294117], [9.0, 14362.431372549023], [10.0, 34612.580392156866], [11.0, 46370.29803921563], [12.0, 14352.541176470582], [13.0, 17903.89411764705], [14.0, 25235.831372549008], [15.0, 0.3058823529411765], [16.0, 56.52156862745098], [17.0, 9475.99999999998]]",MYS,ADM0
2001_01_01_0000000000000000001d,"[[1.0, 0.058823529411764705], [2.0, 0.0], [3.0, 0.0], [4.0, 0.0], [5.0, 0.0], [6.0, 0.0], [7.0, 0.0], [8.0, 0.0], [9.0, 2.9607843137254903], [10.0, 1.0549019607843138], [11.0, 105.87058823529412], [12.0, 1.0], [13.0, 0.0], [14.0, 0.0], [15.0, 3.8901960784313725], [16.0, 21.70196078431372], [17.0, 516.5686274509806]]",MDV,ADM0
2001_01_01_0000000000000000001e,"[[1.0, 0.0], [2.0, 3.0], [3.0, 0.0], [4.0, 46.0], [5.0, 35.62352941176471], [6.0, 0.0], [7.0, 28110.06274509804], [8.0, 113.50980392156862], [9.0, 30181.5137254902], [10.0, 1925255.3450980296], [11.0, 3401.156862745098], [12.0, 125393.2274509804], [13.0, 1943.1960784313726], [14.0, 1115.9372549019608], [15.0, 0.0], [16.0, 3444876.917647059], [17.0, 2810.721568627451]]",MLI,ADM0
2001_01_01_0000000000000000001f,"[[1.0, 0.0], [2.0, 0.0], [3.0, 0.0], [4.0, 0.0], [5.0, 0.0], [6.0, 0.0], [7.0, 0.054901960784313725], [8.0, 0.0], [9.0, 0.0], [10.0, 503.54901960784326], [11.0, 38.98431372549022], [12.0, 616.4901960784314], [13.0, 750.6980392156861], [14.0, 0.0], [15.0, 0.0], [16.0, 4.823529411764706], [17.0, 59.72941176470597]]",MLT,ADM0
2001_01_01_00000000000000000020,"[[1.0, 0.0], [2.0, 0.0], [3.0, 0.0], [4.0, 0.0], [5.0, 0.0], [6.0, 0.0], [7.0, 42985.16470588236], [8.0, 0.0], [9.0, 25.745098039215687], [10.0, 616728.149019608], [11.0, 95.57647058823531], [12.0, 239.58039215686273], [13.0, 652.1725490196078], [14.0, 42.0], [15.0, 0.0], [16.0, 4092356.1725490144], [17.0, 1371.5960784313722]]",MRT,ADM0
2001_01_01_00000000000000000021,"[[1.0, 0.0], [2.0, 1081.9098039215687], [3.0, 0.0], [4.0, 7.0], [5.0, 3.0], [6.0, 7.0], [7.0, 0.0], [8.0, 106.0], [9.0, 1318.913725490196], [10.0, 680.9058823529413], [11.0, 470.8509803921568], [12.0, 4284.545098039216], [13.0, 195.2235294117647], [14.0, 873.286274509804], [15.0, 0.0], [16.0, 11.894117647058822], [17.0, 99.58039215686283]]",MUS,ADM0
2001_01_01_00000000000000000022,"[[1.0, 0.0], [2.0, 0.0], [3.0, 0.0], [4.0, 11798.788235294121], [5.0, 0.0], [6.0, 0.0], [7.0, 0.0], [8.0, 1312.8117647058823], [9.0, 1567.9058823529408], [10.0, 13951.486274509796], [11.0, 826.537254901961], [12.0, 250201.23921568613], [13.0, 9508.670588235298], [14.0, 2822.752941176471], [15.0, 0.0], [16.0, 0.5176470588235293], [17.0, 1311.7137254901959]]",MDA,ADM0
2001_01_01_00000000000000000023,"[[1.0, 0.0], [2.0, 0.0], [3.0, 0.00392156862745098], [4.0, 0.0], [5.0, 0.0], [6.0, 0.0], [7.0, 5574.647058823528], [8.0, 0.0], [9.0, 290.17254901960786], [10.0, 21750.913725490194], [11.0, 9.541176470588235], [12.0, 662.0], [13.0, 1623.9803921568628], [14.0, 0.0], [15.0, 0.0], [16.0, 1385494.9176470595], [17.0, 1478.23137254902]]",OMN,ADM0
2001_01_01_00000000000000000024,"[[1.0, 6389.505882352943], [2.0, 7.215686274509804], [3.0, 5.0], [4.0, 42.67843137254902], [5.0, 3096.4352941176467], [6.0, 3239.3058823529414], [7.0, 436628.10588235286], [8.0, 22333.10980392158], [9.0, 88820.90588235293], [10.0, 740284.0039215687], [11.0, 7939.474509803922], [12.0, 815250.6470588234], [13.0, 38448.55686274511], [14.0, 14583.501960784313], [15.0, 43544.207843137265], [16.0, 2446722.7450980395], [17.0, 19716.80000000001]]",PAK,ADM0
2001_01_01_00000000000000000025,"[[1.0, 0.8901960784313726], [2.0, 939.3411764705883], [3.0, 0.0], [4.0, 2.0], [5.0, 3.5294117647058822], [6.0, 0.0], [7.0, 0.0], [8.0, 58.0], [9.0, 15.0], [10.0, 9.0], [11.0, 754.964705882353], [12.0, 0.0], [13.0, 0.0], [14.0, 0.0], [15.0, 0.0], [16.0, 1.4117647058823528], [17.0, 105.37254901960787]]",PLW,ADM0
2001_01_01_00000000000000000026,"[[1.0, 340.35686274509806], [2.0, 454657.12549019593], [3.0, 2.1254901960784314], [4.0, 160.8470588235294], [5.0, 159.41960784313727], [6.0, 137.32156862745097], [7.0, 26.0], [8.0, 213394.8666666666], [9.0, 125385.47450980383], [10.0, 71278.51764705882], [11.0, 61812.08627450916], [12.0, 55782.21176470587], [13.0, 13713.615686274512], [14.0, 214014.42745098047], [15.0, 0.0], [16.0, 244.0980392156863], [17.0, 22247.28235294093]]",PHL,ADM0
2001_01_01_00000000000000000027,"[[1.0, 364523.1058823529], [2.0, 0.0], [3.0, 354.121568627451], [4.0, 43766.29019607844], [5.0, 349280.1568627453], [6.0, 43.0], [7.0, 6.0], [8.0, 195777.01568627448], [9.0, 331293.6470588235], [10.0, 269383.46274509805], [11.0, 35462.427450980416], [12.0, 1419535.192156863], [13.0, 86285.2862745098], [14.0, 198417.06274509805], [15.0, 0.0], [16.0, 90.91372549019607], [17.0, 15454.847058823518]]",POL,ADM0
2001_01_01_00000000000000000028,"[[1.0, 35835.415686274515], [2.0, 12628.12156862745], [3.0, 1.7568627450980392], [4.0, 135.11764705882354], [5.0, 2111.4156862745103], [6.0, 4712.737254901961], [7.0, 582.3098039215686], [8.0, 95526.21960784317], [9.0, 205352.45098039223], [10.0, 130966.54117647061], [11.0, 8235.305882352945], [12.0, 92706.27450980393], [13.0, 12515.627450980397], [14.0, 16925.333333333332], [15.0, 0.0], [16.0, 271.6941176470589], [17.0, 2798.3372549019596]]",PRT,ADM0
2001_01_01_00000000000000000029,"[[1.0, 70565.8705882353], [2.0, 0.0], [3.0, 178.0], [4.0, 390532.03137254907], [5.0, 104652.27058823532], [6.0, 57.0], [7.0, 17.0], [8.0, 121917.17647058821], [9.0, 176610.80000000002], [10.0, 108935.68627450982], [11.0, 14680.607843137266], [12.0, 803042.713725491], [13.0, 45970.823529411755], [14.0, 112331.8156862745], [15.0, 0.0], [16.0, 123.65490196078433], [17.0, 10932.5725490196]]",ROU,ADM0
2001_01_01_0000000000000000002a,"[[1.0, 52.0], [2.0, 4628.717647058824], [3.0, 0.0], [4.0, 2.0], [5.0, 4.0], [6.0, 51.76862745098039], [7.0, 55.0], [8.0, 1239.2431372549017], [9.0, 20379.811764705883], [10.0, 18920.341176470592], [11.0, 3700.6196078431376], [12.0, 16500.396078431375], [13.0, 383.52941176470586], [14.0, 31637.733333333326], [15.0, 0.0], [16.0, 65.6313725490196], [17.0, 4302.325490196077]]",RWA,ADM0
2001_01_01_0000000000000000002b,"[[1.0, 0.0], [2.0, 0.0], [3.0, 0.0], [4.0, 0.0], [5.0, 0.0], [6.0, 0.0], [7.0, 0.0], [8.0, 3.0], [9.0, 170.65098039215684], [10.0, 18.91764705882353], [11.0, 0.0], [12.0, 219.74509803921572], [13.0, 53.321568627450986], [14.0, 5.337254901960785], [15.0, 0.0], [16.0, 0.0], [17.0, 0.0]]",SMR,ADM0
2001_01_01_0000000000000000002c,"[[1.0, 500.94509803921574], [2.0, 1647.6588235294118], [3.0, 0.0], [4.0, 0.08627450980392157], [5.0, 12.0], [6.0, 15.0], [7.0, 109164.91372549014], [8.0, 3311.788235294118], [9.0, 2950.3843137254917], [10.0, 42523.21960784315], [11.0, 1108.2823529411762], [12.0, 130770.3019607843], [13.0, 9185.75294117648], [14.0, 959.3960784313726], [15.0, 0.0], [16.0, 603962.2862745107], [17.0, 3378.717647058813]]",TUN,ADM0
2001_01_01_0000000000000000002d,"[[1.0, 2.0], [2.0, 0.0], [3.0, 0.0], [4.0, 0.0], [5.0, 0.0], [6.0, 0.0], [7.0, 514932.65882352926], [8.0, 0.0], [9.0, 80.51372549019608], [10.0, 373312.92941176466], [11.0, 919.1803921568628], [12.0, 79823.29411764706], [13.0, 11693.050980392156], [14.0, 0.0], [15.0, 48.0], [16.0, 2123858.396078431], [17.0, 162392.9921568627]]",TKM,ADM0
2001_01_01_0000000000000000002e,"[[1.0, 21.199999999999996], [2.0, 2919.9450980392157], [3.0, 0.0], [4.0, 7.792156862745098], [5.0, 19.109803921568627], [6.0, 2.0], [7.0, 12.0], [8.0, 590.4235294117647], [9.0, 65.35686274509804], [10.0, 23.0], [11.0, 243.27843137254885], [12.0, 13.0], [13.0, 9.631372549019607], [14.0, 8.0], [15.0, 0.0], [16.0, 0.0], [17.0, 51.59215686274508]]",STP,ADM0
2001_01_01_0000000000000000002f,"[[1.0, 0.0], [2.0, 0.0], [3.0, 0.0], [4.0, 0.0], [5.0, 0.0], [6.0, 2.0], [7.0, 138600.14901960787], [8.0, 0.0], [9.0, 184.0], [10.0, 123225.96078431372], [11.0, 10.392156862745098], [12.0, 14785.0], [13.0, 23461.396078431382], [14.0, 3.0], [15.0, 0.0], [16.0, 9026223.596078435], [17.0, 1676.0000000000023]]",SAU,ADM0
2001_01_01_00000000000000000030,"[[1.0, 0.0], [2.0, 1.8627450980392157], [3.0, 0.0], [4.0, 782.2039215686273], [5.0, 26.0], [6.0, 0.0], [7.0, 13233.156862745094], [8.0, 169.5137254901961], [9.0, 29400.411764705896], [10.0, 634368.4117647066], [11.0, 8438.250980392173], [12.0, 127572.89803921567], [13.0, 2455.764705882353], [14.0, 16475.70588235294], [15.0, 0.0], [16.0, 3404.623529411765], [17.0, 5610.529411764705]]",SEN,ADM0
2001_01_01_00000000000000000031,"[[1.0, 24983.545098039216], [2.0, 0.0], [3.0, 36.10588235294118], [4.0, 119566.6941176471], [5.0, 56898.11372549019], [6.0, 13.0], [7.0, 16.0], [8.0, 28285.86274509804], [9.0, 22955.266666666663], [10.0, 28347.341176470574], [11.0, 1982.9294117647055], [12.0, 136771.03921568627], [13.0, 16177.313725490198], [14.0, 13093.623529411765], [15.0, 0.0], [16.0, 57.023529411764706], [17.0, 795.9254901960785]]",SVK,ADM0
2001_01_01_00000000000000000032,"[[1.0, 2731.7921568627444], [2.0, 8.929411764705883], [3.0, 0.0], [4.0, 40710.192156862744], [5.0, 48068.87843137253], [6.0, 0.0], [7.0, 140.03921568627453], [8.0, 29561.443137254908], [9.0, 15089.858823529405], [10.0, 5215.1686274509775], [11.0, 209.21960784313725], [12.0, 7632.949019607845], [13.0, 3152.772549019608], [14.0, 15843.15294117647], [15.0, 76.46274509803922], [16.0, 210.78431372549022], [17.0, 96.4745098039216]]",SVN,ADM0
2001_01_01_00000000000000000033,"[[1.0, 21.0], [2.0, 104.04313725490196], [3.0, 0.0], [4.0, 543.6588235294117], [5.0, 27.04313725490196], [6.0, 54838.647058823524], [7.0, 803680.9098039244], [8.0, 149.44313725490196], [9.0, 25142.462745098033], [10.0, 887901.0352941145], [11.0, 236.15294117647056], [12.0, 7253.070588235294], [13.0, 4547.313725490196], [14.0, 134.1764705882353], [15.0, 0.0], [16.0, 802034.478431374], [17.0, 1482.0901960784324]]",SOM,ADM0
2001_01_01_00000000000000000034,"[[1.0, 0.0], [2.0, 6933.92156862745], [3.0, 0.0], [4.0, 28772.894117647065], [5.0, 13765.698039215697], [6.0, 12.0], [7.0, 157.15686274509804], [8.0, 8852.690196078433], [9.0, 1321823.8901960787], [10.0, 1008580.4470588234], [11.0, 26558.66274509804], [12.0, 215282.60784313735], [13.0, 312.0156862745098], [14.0, 336.8509803921568], [15.0, 0.0], [16.0, 274.6470588235294], [17.0, 479.0]]",SSD,ADM0
2001_01_01_00000000000000000035,"[[1.0, 79495.66666666669], [2.0, 71487.89019607841], [3.0, 0.7254901960784313], [4.0, 22371.815686274505], [5.0, 44864.05882352941], [6.0, 39560.250980392164], [7.0, 388205.3450980392], [8.0, 421019.70588235284], [9.0, 513384.23529411765], [10.0, 847564.5254901963], [11.0, 41540.501960784284], [12.0, 908805.5647058823], [13.0, 44056.56862745102], [14.0, 39428.819607843136], [15.0, 0.0], [16.0, 17479.654901960803], [17.0, 6979.305882352935]]",ESP,ADM0
2001_01_01_00000000000000000036,"[[1.0, 8.996078431372549], [2.0, 34069.984313725494], [3.0, 1.0], [4.0, 34.0], [5.0, 163.0], [6.0, 27.0], [7.0, 72.03137254901961], [8.0, 96752.05490196077], [9.0, 62145.1333333333], [10.0, 20335.98039215685], [11.0, 2396.6039215686274], [12.0, 12237.29411764706], [13.0, 2011.5058823529414], [14.0, 34698.560784313726], [15.0, 0.0], [16.0, 123.44705882352942], [17.0, 5343.486274509796]]",LKA,ADM0
2001_01_01_00000000000000000037,"[[1.0, 0.0], [2.0, 0.0], [3.0, 0.0], [4.0, 81.6313725490196], [5.0, 1.0], [6.0, 0.0], [7.0, 66814.61568627451], [8.0, 0.0], [9.0, 3040.780392156863], [10.0, 2538146.462745098], [11.0, 1340.6313725490197], [12.0, 378793.64705882355], [13.0, 15110.498039215687], [14.0, 7996.270588235294], [15.0, 0.0], [16.0, 5065055.6705882335], [17.0, 4909.780392156862]]",SDN,ADM0
